sample_index,s1_x_g,s1_y_g,s1_z_g,s1_x_v,s1_y_v,s1_z_v,s2_x_g,s2_y_g,s2_z_g,s2_x_v,s2_y_v,s2_z_v
0,0.9826,0.0000,-0.0684,1.9448,1.6500,1.6295,1.0009,0.0000,0.3404,1.9503,1.6500,1.7521
1,1.0157,0.0000,-0.0706,1.9547,1.6500,1.6288,0.9863,0.0000,0.3325,1.9459,1.6500,1.7497
2,0.9985,0.0000,-0.0429,1.9496,1.6500,1.6371,0.9845,0.0000,0.3254,1.9453,1.6500,1.7476
3,1.0149,0.0000,-0.0729,1.9545,1.6500,1.6281,1.0097,0.0000,0.3380,1.9529,1.6500,1.7514
4,1.0070,0.0000,-0.0558,1.9521,1.6500,1.6333,1.0069,0.0000,0.3492,1.9521,1.6500,1.7547
5,0.9883,0.0000,-0.0581,1.9465,1.6500,1.6326,1.0101,0.0000,0.3432,1.9530,1.6500,1.7530
6,1.0040,0.0000,-0.0773,1.9512,1.6500,1.6268,0.9872,0.0000,0.3384,1.9461,1.6500,1.7515
7,1.0078,0.0000,-0.0625,1.9523,1.6500,1.6312,1.0126,0.0000,0.3386,1.9538,1.6500,1.7516
8,0.9960,0.0000,-0.0622,1.9488,1.6500,1.6313,1.0019,0.0000,0.3363,1.9506,1.6500,1.7509
9,0.9934,0.0000,-0.0574,1.9480,1.6500,1.6328,0.9882,0.0000,0.3243,1.9465,1.6500,1.7473
10,0.9981,0.0000,-0.0527,1.9494,1.6500,1.6342,0.9967,0.0000,0.3471,1.9490,1.6500,1.7541
11,0.9879,0.0000,-0.0450,1.9464,1.6500,1.6365,1.0055,0.0000,0.3509,1.9516,1.6500,1.7553
12,0.9841,0.0000,-0.0537,1.9452,1.6500,1.6339,0.9985,0.0000,0.3412,1.9496,1.6500,1.7524
13,0.9821,0.0000,-0.0585,1.9446,1.6500,1.6325,0.9935,0.0000,0.3512,1.9480,1.6500,1.7554
14,1.0158,0.0000,-0.0582,1.9547,1.6500,1.6325,0.9876,0.0000,0.3553,1.9463,1.6500,1.7566
15,0.9990,0.0000,-0.0476,1.9497,1.6500,1.6357,1.0028,0.0000,0.3353,1.9508,1.6500,1.7506
16,1.0054,0.0000,-0.0497,1.9516,1.6500,1.6351,1.0001,0.0000,0.3451,1.9500,1.6500,1.7535
17,0.9904,0.0000,-0.0456,1.9471,1.6500,1.6363,0.9846,0.0000,0.3567,1.9454,1.6500,1.7570
18,0.9826,0.0000,-0.0513,1.9448,1.6500,1.6346,0.9944,0.0000,0.3341,1.9483,1.6500,1.7502
19,0.9847,0.0000,-0.0688,1.9454,1.6500,1.6293,1.0040,0.0000,0.3389,1.9512,1.6500,1.7517
20,0.9914,0.0000,-0.0679,1.9474,1.6500,1.6296,1.0129,0.0000,0.3542,1.9539,1.6500,1.7562
21,1.0123,0.0000,-0.0592,1.9537,1.6500,1.6322,1.0029,0.0000,0.3326,1.9509,1.6500,1.7498
22,0.9881,0.0000,-0.0776,1.9464,1.6500,1.6267,0.9870,0.0000,0.3567,1.9461,1.6500,1.7570
23,1.0060,0.0000,-0.0420,1.9518,1.6500,1.6374,1.0094,0.0000,0.3457,1.9528,1.6500,1.7537
24,1.0176,0.0000,-0.0627,1.9553,1.6500,1.6312,1.0021,0.0000,0.3315,1.9506,1.6500,1.7495
25,1.0004,0.0000,-0.0435,1.9501,1.6500,1.6370,0.9859,0.0000,0.3325,1.9458,1.6500,1.7497
26,1.0076,0.0000,-0.0681,1.9523,1.6500,1.6296,0.9849,0.0000,0.3260,1.9455,1.6500,1.7478
27,1.0021,0.0000,-0.0645,1.9506,1.6500,1.6307,0.9835,0.0000,0.3232,1.9450,1.6500,1.7470
28,0.9825,0.0000,-0.0481,1.9448,1.6500,1.6356,1.0076,0.0000,0.3320,1.9523,1.6500,1.7496
29,0.9975,0.0000,-0.0528,1.9492,1.6500,1.6342,1.0134,0.0000,0.3402,1.9540,1.6500,1.7521
30,0.9933,0.0000,-0.0559,1.9480,1.6500,1.6332,1.0164,0.0000,0.3354,1.9549,1.6500,1.7506
31,1.0023,0.0000,-0.0500,1.9507,1.6500,1.6350,0.9996,0.0000,0.3272,1.9499,1.6500,1.7482
32,1.0155,0.0000,-0.0592,1.9546,1.6500,1.6322,0.9946,0.0000,0.3368,1.9484,1.6500,1.7510
33,1.0017,0.0000,-0.0462,1.9505,1.6500,1.6362,0.9845,0.0000,0.3264,1.9453,1.6500,1.7479
